date,sku,on_hand,cost,reorder_point,category,brand
2023-01-01,VIK-1000S,12,56.24,18,Schaatsen,Viking
2023-01-01,VIK-1001S,13,113.23,22,Schaatsen,Viking
2023-01-01,VIK-1002S,106,33.07,14,Schaatsen,Viking
2023-01-01,VIK-1003S,90,56.66,23,Schaatsen,Viking
2023-01-01,VIK-1004S,112,24.26,23,Schaatsen,Viking
2023-01-01,VIK-1005S,26,25.55,17,Schaatsen,Viking
2023-01-01,VIK-1006S,64,61.24,17,Schaatsen,Viking
2023-01-01,VIK-1007S,54,23.25,11,Schaatsen,Viking
2023-01-01,VIK-1008S,18,63.97,10,Schaatsen,Viking
2023-01-01,VIK-1009S,8,78.83,8,Schaatsen,Viking
2023-01-01,VIK-1010S,84,31.16,16,Schaatsen,Viking
2023-01-01,VIK-1011S,106,87.33,9,Schaatsen,Viking
2023-01-01,VIK-1012S,4,62.37,23,Schaatsen,Viking
2023-01-01,VIK-1013S,117,61.0,19,Schaatsen,Viking
2023-01-01,VIK-1014S,85,108.58,14,Schaatsen,Viking
2023-01-01,VIK-1015S,28,69.38,19,Schaatsen,Viking
2023-01-01,VIK-1016S,46,65.7,14,Schaatsen,Viking
2023-01-01,VIK-1017S,51,116.54,14,Schaatsen,Viking
2023-01-01,VIK-1018S,113,21.59,22,Schaatsen,Viking
2023-01-01,VIK-1019S,3,21.69,15,Schaatsen,Viking
2023-01-01,VIK-1000S,27,93.28,24,Schoenen,Viking
2023-01-01,VIK-1001S,118,88.14,15,Schoenen,Viking
2023-01-01,VIK-1002S,13,82.99,21,Schoenen,Viking
2023-01-01,VIK-1003S,52,75.26,6,Schoenen,Viking
2023-01-01,VIK-1004S,44,82.45,24,Schoenen,Viking
2023-01-01,VIK-1005S,45,92.48,14,Schoenen,Viking
2023-01-01,VIK-1006S,112,110.37,18,Schoenen,Viking
2023-01-01,VIK-1007S,119,97.94,7,Schoenen,Viking
2023-01-01,VIK-1008S,90,65.32,19,Schoenen,Viking
2023-01-01,VIK-1009S,7,80.29,9,Schoenen,Viking
2023-01-01,VIK-1010S,31,47.43,10,Schoenen,Viking
2023-01-01,VIK-1011S,49,34.77,11,Schoenen,Viking
2023-01-01,VIK-1012S,98,23.17,19,Schoenen,Viking
2023-01-01,VIK-1013S,100,41.32,11,Schoenen,Viking
2023-01-01,VIK-1014S,50,93.66,11,Schoenen,Viking
2023-01-01,VIK-1015S,112,62.33,7,Schoenen,Viking
2023-01-01,VIK-1016S,59,15.1,22,Schoenen,Viking
2023-01-01,VIK-1017S,62,27.0,11,Schoenen,Viking
2023-01-01,VIK-1018S,8,110.56,12,Schoenen,Viking
2023-01-01,VIK-1019S,30,119.07,11,Schoenen,Viking
2023-01-01,VIK-1000K,117,104.0,9,Kleding,Viking
2023-01-01,VIK-1001K,104,59.15,21,Kleding,Viking
2023-01-01,VIK-1002K,98,64.5,20,Kleding,Viking
2023-01-01,VIK-1003K,84,67.89,18,Kleding,Viking
2023-01-01,VIK-1004K,77,103.61,14,Kleding,Viking
2023-01-01,VIK-1005K,29,57.07,24,Kleding,Viking
2023-01-01,VIK-1006K,40,64.91,7,Kleding,Viking
2023-01-01,VIK-1007K,103,73.84,11,Kleding,Viking
2023-01-01,VIK-1008K,74,105.4,7,Kleding,Viking
2023-01-01,VIK-1009K,95,60.03,23,Kleding,Viking
2023-01-01,VIK-1010K,62,15.68,14,Kleding,Viking
2023-01-01,VIK-1011K,99,96.54,18,Kleding,Viking
2023-01-01,VIK-1012K,15,60.68,16,Kleding,Viking
2023-01-01,VIK-1013K,31,55.73,23,Kleding,Viking
2023-01-01,VIK-1014K,63,41.42,23,Kleding,Viking
2023-01-01,VIK-1015K,2,34.85,17,Kleding,Viking
2023-01-01,VIK-1016K,108,70.7,10,Kleding,Viking
2023-01-01,VIK-1017K,2,107.23,19,Kleding,Viking
2023-01-01,VIK-1018K,65,83.45,12,Kleding,Viking
