date,order_id,sku,product_name,category,brand,channel,qty,price,cost,vat_rate
2023-01-01,200000,NIJ-6335,Nijdam Slijpen,Slijpen,Nijdam,web,1,71.59,35.78,0.21
2023-01-01,200001,BON-4002,Bont Bescherming,Bescherming,Bont,store,1,38.03,26.59,0.21
2023-01-01,200002,BON-5044,Bont Kleding,Kleding,Bont,store,1,66.68,46.03,0.21
2023-01-01,200003,RAP-1225,Raps Slijpen,Slijpen,Raps,store,2,46.27,31.12,0.21
2023-01-01,200004,ZAN-8127,Zandstra Slijpen,Slijpen,Zandstra,web,1,69.0,42.79,0.21
2023-01-01,200005,NIJ-4947,Nijdam Schaatsen,Schaatsen,Nijdam,store,2,198.22,131.97,0.21
2023-01-01,200006,MAP-2917,Maple Bescherming,Bescherming,Maple,store,2,23.41,11.58,0.21
2023-01-01,200007,RAP-1068,Raps Accessoires,Accessoires,Raps,marketplace,1,29.23,14.61,0.21
2023-01-01,200008,VIK-4256,Viking Accessoires,Accessoires,Viking,web,1,29.81,19.28,0.21
2023-01-01,200009,NIJ-3311,Nijdam Kleding,Kleding,Nijdam,web,2,70.05,48.87,0.21
2023-01-01,200010,VIK-6559,Viking Slijpen,Slijpen,Viking,store,2,71.04,48.58,0.21
2023-01-01,200011,RAP-2828,Raps Schaatsen,Schaatsen,Raps,web,2,225.42,149.95,0.21
2023-01-01,200012,ZAN-5076,Zandstra Accessoires,Accessoires,Zandstra,store,2,28.72,17.01,0.21
2023-01-01,200013,VIK-5886,Viking Kleding,Kleding,Viking,store,1,56.75,29.18,0.21
2023-01-01,200014,MAP-6796,Maple Kleding,Kleding,Maple,store,2,62.93,33.63,0.21
2023-01-02,200015,NIJ-7499,Nijdam Schoenen,Schoenen,Nijdam,store,1,188.09,108.42,0.21
2023-01-02,200016,MAP-8549,Maple Slijpen,Slijpen,Maple,web,1,60.25,27.16,0.21
2023-01-02,200017,MAP-4863,Maple Slijpen,Slijpen,Maple,store,1,55.67,31.47,0.21
2023-01-02,200018,MAP-5527,Maple Schaatsen,Schaatsen,Maple,web,2,170.89,89.18,0.21
2023-01-02,200019,VIK-4995,Viking Schaatsen,Schaatsen,Viking,marketplace,2,202.08,114.8,0.21
2023-01-02,200020,BON-9440,Bont Bescherming,Bescherming,Bont,web,1,32.58,18.79,0.21
2023-01-02,200021,BON-4735,Bont Kleding,Kleding,Bont,store,2,74.61,42.34,0.21
2023-01-02,200022,RAP-8308,Raps Schaatsen,Schaatsen,Raps,store,1,225.79,126.51,0.21
2023-01-02,200023,NIJ-5777,Nijdam Kleding,Kleding,Nijdam,store,2,73.82,42.95,0.21
2023-01-02,200024,MAP-4414,Maple Bescherming,Bescherming,Maple,marketplace,2,43.95,24.88,0.21
2023-01-02,200025,VIK-2815,Viking Kleding,Kleding,Viking,store,1,71.05,46.48,0.21
2023-01-02,200026,BON-9624,Bont Kleding,Kleding,Bont,store,1,63.49,33.79,0.21
2023-01-02,200027,ZAN-3695,Zandstra Kleding,Kleding,Zandstra,web,2,67.62,36.25,0.21
2023-01-02,200028,EHS-3917,EHS Kleding,Kleding,EHS,web,2,59.55,39.86,0.21
2023-01-02,200029,EHS-3545,EHS Schaatsen,Schaatsen,EHS,store,2,217.32,111.21,0.21
2023-01-02,200030,RAP-6060,Raps Bescherming,Bescherming,Raps,web,1,37.53,18.42,0.21
2023-01-02,200031,VIK-5734,Viking Slijpen,Slijpen,Viking,store,2,49.0,22.45,0.21
2023-01-03,200032,RAP-5204,Raps Slijpen,Slijpen,Raps,store,1,67.65,33.38,0.21
2023-01-03,200033,VIK-8922,Viking Bescherming,Bescherming,Viking,store,1,33.44,23.45,0.21
2023-01-03,200034,VIK-9439,Viking Schoenen,Schoenen,Viking,web,1,147.56,72.34,0.21
2023-01-03,200035,MAP-8336,Maple Schaatsen,Schaatsen,Maple,store,2,248.23,128.04,0.21
2023-01-03,200036,VIK-5172,Viking Slijpen,Slijpen,Viking,web,1,44.83,24.15,0.21
2023-01-03,200037,BON-6630,Bont Slijpen,Slijpen,Bont,store,2,54.18,35.35,0.21
2023-01-03,200038,VIK-7478,Viking Schoenen,Schoenen,Viking,store,1,122.29,72.98,0.21
2023-01-03,200039,RAP-5783,Raps Kleding,Kleding,Raps,marketplace,2,78.27,38.44,0.21
2023-01-03,200040,NIJ-5799,Nijdam Kleding,Kleding,Nijdam,store,1,78.49,46.38,0.21
2023-01-03,200041,MAP-8880,Maple Bescherming,Bescherming,Maple,marketplace,1,36.65,21.48,0.21
2023-01-03,200042,VIK-6424,Viking Bescherming,Bescherming,Viking,store,2,45.51,23.16,0.21
2023-01-03,200043,NIJ-3045,Nijdam Schoenen,Schoenen,Nijdam,store,2,169.69,77.93,0.21
2023-01-03,200044,EHS-1446,EHS Bescherming,Bescherming,EHS,web,2,33.98,17.72,0.21
2023-01-03,200045,ZAN-7047,Zandstra Schoenen,Schoenen,Zandstra,web,2,165.48,112.65,0.21
2023-01-04,200046,MAP-9518,Maple Accessoires,Accessoires,Maple,store,1,26.3,18.19,0.21
2023-01-04,200047,ZAN-6625,Zandstra Bescherming,Bescherming,Zandstra,store,1,37.16,19.89,0.21
2023-01-04,200048,EHS-3505,EHS Accessoires,Accessoires,EHS,marketplace,1,30.86,19.38,0.21
2023-01-04,200049,ZAN-2278,Zandstra Accessoires,Accessoires,Zandstra,web,1,25.38,17.78,0.21
2023-01-04,200050,MAP-5663,Maple Slijpen,Slijpen,Maple,web,1,64.29,44.95,0.21
2023-01-04,200051,EHS-7334,EHS Schoenen,Schoenen,EHS,web,2,138.13,95.71,0.21
2023-01-04,200052,RAP-2121,Raps Kleding,Kleding,Raps,store,1,70.57,34.01,0.21
2023-01-04,200053,MAP-1229,Maple Schoenen,Schoenen,Maple,store,2,123.71,81.16,0.21
2023-01-04,200054,NIJ-8968,Nijdam Kleding,Kleding,Nijdam,store,1,78.45,38.33,0.21
2023-01-04,200055,NIJ-7549,Nijdam Kleding,Kleding,Nijdam,web,2,54.37,30.25,0.21
2023-01-04,200056,BON-6493,Bont Slijpen,Slijpen,Bont,web,2,53.64,34.15,0.21
2023-01-04,200057,ZAN-9501,Zandstra Kleding,Kleding,Zandstra,store,2,80.51,57.13,0.21
2023-01-04,200058,MAP-7842,Maple Kleding,Kleding,Maple,store,2,85.36,50.9,0.21
2023-01-04,200059,ZAN-7183,Zandstra Bescherming,Bescherming,Zandstra,store,1,32.42,21.21,0.21
2023-01-04,200060,VIK-7159,Viking Schaatsen,Schaatsen,Viking,store,1,195.22,139.94,0.21
2023-01-04,200061,VIK-8721,Viking Accessoires,Accessoires,Viking,store,1,29.05,20.29,0.21
2023-01-04,200062,MAP-4455,Maple Kleding,Kleding,Maple,web,2,85.93,49.53,0.21
2023-01-05,200063,EHS-2976,EHS Schoenen,Schoenen,EHS,store,1,120.94,58.9,0.21
2023-01-05,200064,BON-5677,Bont Slijpen,Slijpen,Bont,store,1,58.57,29.99,0.21
2023-01-05,200065,MAP-1696,Maple Slijpen,Slijpen,Maple,marketplace,1,45.07,24.05,0.21
2023-01-05,200066,ZAN-1153,Zandstra Bescherming,Bescherming,Zandstra,store,1,32.84,22.34,0.21
2023-01-05,200067,NIJ-7799,Nijdam Slijpen,Slijpen,Nijdam,web,2,75.5,43.39,0.21
2023-01-05,200068,VIK-5640,Viking Schoenen,Schoenen,Viking,web,1,90.93,57.79,0.21
2023-01-05,200069,RAP-7242,Raps Kleding,Kleding,Raps,web,2,74.76,36.57,0.21
2023-01-05,200070,BON-3919,Bont Schaatsen,Schaatsen,Bont,store,2,244.04,170.19,0.21
2023-01-05,200071,RAP-8420,Raps Slijpen,Slijpen,Raps,store,1,63.26,40.87,0.21
2023-01-05,200072,EHS-7692,EHS Kleding,Kleding,EHS,store,2,84.29,59.61,0.21
2023-01-05,200073,RAP-2102,Raps Accessoires,Accessoires,Raps,store,1,30.83,16.72,0.21
2023-01-05,200074,VIK-7791,Viking Bescherming,Bescherming,Viking,store,1,36.7,26.15,0.21
2023-01-05,200075,NIJ-1402,Nijdam Schoenen,Schoenen,Nijdam,web,2,161.97,100.33,0.21
2023-01-05,200076,NIJ-2885,Nijdam Accessoires,Accessoires,Nijdam,marketplace,2,16.56,9.96,0.21
2023-01-05,200077,BON-7697,Bont Slijpen,Slijpen,Bont,web,2,61.79,40.61,0.21
2023-01-05,200078,RAP-2860,Raps Slijpen,Slijpen,Raps,store,2,61.32,29.35,0.21
2023-01-05,200079,NIJ-6398,Nijdam Bescherming,Bescherming,Nijdam,store,1,41.19,23.33,0.21
2023-01-05,200080,BON-3550,Bont Bescherming,Bescherming,Bont,web,1,31.22,17.34,0.21
2023-01-05,200081,NIJ-5859,Nijdam Accessoires,Accessoires,Nijdam,store,2,25.35,14.75,0.21
2023-01-05,200082,VIK-9081,Viking Schoenen,Schoenen,Viking,web,2,125.77,68.73,0.21
2023-01-06,200083,NIJ-7091,Nijdam Schaatsen,Schaatsen,Nijdam,store,1,225.46,142.45,0.21
2023-01-06,200084,MAP-2750,Maple Kleding,Kleding,Maple,store,2,51.23,26.27,0.21
2023-01-06,200085,MAP-1857,Maple Slijpen,Slijpen,Maple,store,1,63.34,29.18,0.21
2023-01-06,200086,BON-5957,Bont Schoenen,Schoenen,Bont,web,1,140.37,96.86,0.21
2023-01-06,200087,BON-8106,Bont Schoenen,Schoenen,Bont,store,1,124.62,58.75,0.21
2023-01-06,200088,MAP-9040,Maple Accessoires,Accessoires,Maple,marketplace,1,23.17,10.85,0.21
2023-01-06,200089,NIJ-9629,Nijdam Schoenen,Schoenen,Nijdam,web,2,142.44,69.05,0.21
2023-01-06,200090,NIJ-1533,Nijdam Schaatsen,Schaatsen,Nijdam,store,2,233.45,161.79,0.21
2023-01-06,200091,NIJ-5711,Nijdam Accessoires,Accessoires,Nijdam,web,1,25.29,12.5,0.21
2023-01-06,200092,NIJ-4817,Nijdam Bescherming,Bescherming,Nijdam,marketplace,1,39.1,20.45,0.21
2023-01-06,200093,MAP-1787,Maple Kleding,Kleding,Maple,marketplace,1,69.21,43.73,0.21
2023-01-06,200094,EHS-6662,EHS Slijpen,Slijpen,EHS,web,1,62.81,38.64,0.21
2023-01-06,200095,MAP-2708,Maple Accessoires,Accessoires,Maple,store,2,21.63,12.3,0.21
2023-01-06,200096,RAP-5676,Raps Schaatsen,Schaatsen,Raps,marketplace,1,223.58,122.89,0.21
2023-01-06,200097,BON-4272,Bont Bescherming,Bescherming,Bont,marketplace,1,37.64,22.56,0.21
2023-01-06,200098,EHS-7908,EHS Schoenen,Schoenen,EHS,store,2,118.46,64.61,0.21
2023-01-06,200099,EHS-3537,EHS Schaatsen,Schaatsen,EHS,marketplace,2,222.35,146.83,0.21
2023-01-06,200100,NIJ-2265,Nijdam Schoenen,Schoenen,Nijdam,store,1,166.05,84.08,0.21
2023-01-06,200101,RAP-9956,Raps Schoenen,Schoenen,Raps,marketplace,2,144.74,77.79,0.21
2023-01-06,200102,VIK-1143,Viking Kleding,Kleding,Viking,marketplace,2,73.32,52.35,0.21
2023-01-07,200103,RAP-8193,Raps Bescherming,Bescherming,Raps,store,2,32.95,19.49,0.21
2023-01-07,200104,BON-1288,Bont Schoenen,Schoenen,Bont,store,1,122.28,77.83,0.21
2023-01-07,200105,RAP-1211,Raps Accessoires,Accessoires,Raps,store,2,25.35,11.41,0.21
2023-01-07,200106,ZAN-2120,Zandstra Schoenen,Schoenen,Zandstra,marketplace,2,104.38,56.45,0.21
2023-01-07,200107,BON-1025,Bont Kleding,Kleding,Bont,store,2,71.16,35.16,0.21
2023-01-07,200108,BON-6412,Bont Bescherming,Bescherming,Bont,web,2,35.91,21.87,0.21
2023-01-07,200109,VIK-9873,Viking Kleding,Kleding,Viking,store,2,78.59,52.1,0.21
2023-01-07,200110,NIJ-6604,Nijdam Kleding,Kleding,Nijdam,store,2,63.68,45.5,0.21
2023-01-07,200111,ZAN-9989,Zandstra Slijpen,Slijpen,Zandstra,web,2,43.71,20.7,0.21
2023-01-07,200112,ZAN-9725,Zandstra Schoenen,Schoenen,Zandstra,web,1,182.58,92.98,0.21
