date,employee_id,role,hours,hourly_wage
2023-01-01,E1,sales,8.63,18.5
2023-01-01,E2,sales,5.07,17.5
2023-01-01,E3,warehouse,5.92,16.0
2023-01-01,E4,admin,5.41,20.0
2023-01-02,E1,sales,5.82,18.5
2023-01-02,E2,sales,5.99,17.5
2023-01-02,E3,warehouse,7.25,16.0
2023-01-02,E4,admin,5.9,20.0
2023-01-03,E1,sales,5.78,18.5
2023-01-03,E2,sales,6.56,17.5
2023-01-03,E3,warehouse,6.36,16.0
2023-01-03,E4,admin,2.46,20.0
2023-01-04,E1,sales,7.65,18.5
2023-01-04,E2,sales,5.86,17.5
2023-01-04,E3,warehouse,6.0,16.0
2023-01-04,E4,admin,3.84,20.0
2023-01-05,E1,sales,7.62,18.5
2023-01-05,E2,sales,6.28,17.5
2023-01-05,E3,warehouse,4.93,16.0
2023-01-05,E4,admin,4.38,20.0
2023-01-06,E1,sales,7.82,18.5
2023-01-06,E2,sales,8.19,17.5
2023-01-06,E3,warehouse,5.08,16.0
2023-01-06,E4,admin,5.31,20.0
2023-01-07,E1,sales,5.07,18.5
2023-01-07,E2,sales,6.98,17.5
2023-01-07,E3,warehouse,3.7,16.0
2023-01-07,E4,admin,2.04,20.0
2023-01-08,E1,sales,6.4,18.5
2023-01-08,E2,sales,6.12,17.5
2023-01-08,E3,warehouse,6.0,16.0
2023-01-08,E4,admin,2.61,20.0
2023-01-09,E1,sales,5.21,18.5
2023-01-09,E2,sales,6.65,17.5
2023-01-09,E3,warehouse,5.97,16.0
2023-01-09,E4,admin,3.23,20.0
2023-01-10,E1,sales,7.46,18.5
2023-01-10,E2,sales,5.52,17.5
2023-01-10,E3,warehouse,5.71,16.0
2023-01-10,E4,admin,2.57,20.0
2023-01-11,E1,sales,7.66,18.5
2023-01-11,E2,sales,7.09,17.5
2023-01-11,E3,warehouse,8.5,16.0
2023-01-11,E4,admin,4.09,20.0
2023-01-12,E1,sales,5.36,18.5
2023-01-12,E2,sales,6.61,17.5
2023-01-12,E3,warehouse,5.98,16.0
2023-01-12,E4,admin,3.14,20.0
2023-01-13,E1,sales,4.67,18.5
2023-01-13,E2,sales,5.25,17.5
2023-01-13,E3,warehouse,6.48,16.0
2023-01-13,E4,admin,3.61,20.0
2023-01-14,E1,sales,8.8,18.5
2023-01-14,E2,sales,6.47,17.5
2023-01-14,E3,warehouse,5.54,16.0
2023-01-14,E4,admin,4.09,20.0
2023-01-15,E1,sales,6.47,18.5
2023-01-15,E2,sales,7.29,17.5
2023-01-15,E3,warehouse,6.02,16.0
2023-01-15,E4,admin,2.58,20.0
2023-01-16,E1,sales,5.83,18.5
2023-01-16,E2,sales,6.64,17.5
2023-01-16,E3,warehouse,4.97,16.0
2023-01-16,E4,admin,3.1,20.0
2023-01-17,E1,sales,5.98,18.5
2023-01-17,E2,sales,6.98,17.5
2023-01-17,E3,warehouse,5.37,16.0
2023-01-17,E4,admin,3.45,20.0
2023-01-18,E1,sales,7.08,18.5
2023-01-18,E2,sales,7.25,17.5
2023-01-18,E3,warehouse,6.17,16.0
2023-01-18,E4,admin,4.12,20.0
2023-01-19,E1,sales,4.44,18.5
2023-01-19,E2,sales,5.86,17.5
2023-01-19,E3,warehouse,5.69,16.0
2023-01-19,E4,admin,5.33,20.0
2023-01-20,E1,sales,4.48,18.5
2023-01-20,E2,sales,5.74,17.5
2023-01-20,E3,warehouse,6.48,16.0
2023-01-20,E4,admin,3.17,20.0
2023-01-21,E1,sales,5.56,18.5
2023-01-21,E2,sales,4.98,17.5
2023-01-21,E3,warehouse,7.24,16.0
2023-01-21,E4,admin,4.25,20.0
2023-01-22,E1,sales,5.5,18.5
2023-01-22,E2,sales,5.95,17.5
2023-01-22,E3,warehouse,6.41,16.0
2023-01-22,E4,admin,6.35,20.0
2023-01-23,E1,sales,3.47,18.5
2023-01-23,E2,sales,7.32,17.5
2023-01-23,E3,warehouse,5.03,16.0
2023-01-23,E4,admin,2.05,20.0
2023-01-24,E1,sales,7.48,18.5
2023-01-24,E2,sales,6.32,17.5
2023-01-24,E3,warehouse,6.09,16.0
2023-01-24,E4,admin,2.66,20.0
2023-01-25,E1,sales,5.61,18.5
2023-01-25,E2,sales,6.12,17.5
2023-01-25,E3,warehouse,5.35,16.0
2023-01-25,E4,admin,3.54,20.0
2023-01-26,E1,sales,5.35,18.5
2023-01-26,E2,sales,6.87,17.5
2023-01-26,E3,warehouse,4.76,16.0
2023-01-26,E4,admin,3.45,20.0
2023-01-27,E1,sales,6.11,18.5
2023-01-27,E2,sales,4.17,17.5
2023-01-27,E3,warehouse,5.31,16.0
2023-01-27,E4,admin,3.69,20.0
2023-01-28,E1,sales,4.8,18.5
2023-01-28,E2,sales,5.55,17.5
2023-01-28,E3,warehouse,6.02,16.0
2023-01-28,E4,admin,3.74,20.0
2023-01-29,E1,sales,5.03,18.5
2023-01-29,E2,sales,5.32,17.5
2023-01-29,E3,warehouse,6.45,16.0
2023-01-29,E4,admin,4.0,20.0
2023-01-30,E1,sales,3.64,18.5
2023-01-30,E2,sales,5.57,17.5
2023-01-30,E3,warehouse,6.62,16.0
2023-01-30,E4,admin,3.76,20.0
2023-01-31,E1,sales,5.84,18.5
2023-01-31,E2,sales,8.2,17.5
2023-01-31,E3,warehouse,7.06,16.0
2023-01-31,E4,admin,2.62,20.0
2023-02-01,E1,sales,6.04,18.5
2023-02-01,E2,sales,4.92,17.5
2023-02-01,E3,warehouse,4.63,16.0
2023-02-01,E4,admin,3.61,20.0
2023-02-02,E1,sales,5.05,18.5
2023-02-02,E2,sales,4.43,17.5
2023-02-02,E3,warehouse,5.3,16.0
2023-02-02,E4,admin,3.85,20.0
2023-02-03,E1,sales,3.77,18.5
2023-02-03,E2,sales,5.22,17.5
2023-02-03,E3,warehouse,6.2,16.0
2023-02-03,E4,admin,4.69,20.0
2023-02-04,E1,sales,6.87,18.5
2023-02-04,E2,sales,4.83,17.5
2023-02-04,E3,warehouse,6.19,16.0
2023-02-04,E4,admin,5.46,20.0
2023-02-05,E1,sales,6.06,18.5
2023-02-05,E2,sales,5.27,17.5
2023-02-05,E3,warehouse,5.85,16.0
2023-02-05,E4,admin,4.55,20.0
2023-02-06,E1,sales,5.86,18.5
2023-02-06,E2,sales,6.25,17.5
2023-02-06,E3,warehouse,5.92,16.0
2023-02-06,E4,admin,3.47,20.0
2023-02-07,E1,sales,6.85,18.5
2023-02-07,E2,sales,6.59,17.5
2023-02-07,E3,warehouse,6.29,16.0
2023-02-07,E4,admin,4.65,20.0
2023-02-08,E1,sales,8.86,18.5
2023-02-08,E2,sales,4.5,17.5
2023-02-08,E3,warehouse,5.9,16.0
2023-02-08,E4,admin,4.47,20.0
2023-02-09,E1,sales,6.21,18.5
2023-02-09,E2,sales,5.16,17.5
2023-02-09,E3,warehouse,5.56,16.0
2023-02-09,E4,admin,3.07,20.0
2023-02-10,E1,sales,6.07,18.5
2023-02-10,E2,sales,6.55,17.5
2023-02-10,E3,warehouse,8.18,16.0
2023-02-10,E4,admin,3.91,20.0
2023-02-11,E1,sales,7.05,18.5
2023-02-11,E2,sales,6.48,17.5
2023-02-11,E3,warehouse,7.24,16.0
2023-02-11,E4,admin,3.15,20.0
2023-02-12,E1,sales,5.62,18.5
2023-02-12,E2,sales,6.39,17.5
2023-02-12,E3,warehouse,7.65,16.0
2023-02-12,E4,admin,4.78,20.0
2023-02-13,E1,sales,6.13,18.5
2023-02-13,E2,sales,6.86,17.5
2023-02-13,E3,warehouse,5.74,16.0
2023-02-13,E4,admin,3.44,20.0
2023-02-14,E1,sales,6.43,18.5
2023-02-14,E2,sales,6.24,17.5
2023-02-14,E3,warehouse,5.63,16.0
2023-02-14,E4,admin,4.73,20.0
2023-02-15,E1,sales,5.92,18.5
2023-02-15,E2,sales,5.42,17.5
2023-02-15,E3,warehouse,6.36,16.0
2023-02-15,E4,admin,4.38,20.0
2023-02-16,E1,sales,7.23,18.5
2023-02-16,E2,sales,8.42,17.5
2023-02-16,E3,warehouse,7.1,16.0
2023-02-16,E4,admin,3.71,20.0
2023-02-17,E1,sales,6.85,18.5
2023-02-17,E2,sales,6.22,17.5
2023-02-17,E3,warehouse,5.15,16.0
2023-02-17,E4,admin,2.12,20.0
2023-02-18,E1,sales,5.47,18.5
2023-02-18,E2,sales,5.78,17.5
2023-02-18,E3,warehouse,6.81,16.0
2023-02-18,E4,admin,5.92,20.0
2023-02-19,E1,sales,5.99,18.5
2023-02-19,E2,sales,6.11,17.5
2023-02-19,E3,warehouse,4.28,16.0
2023-02-19,E4,admin,3.35,20.0
2023-02-20,E1,sales,6.61,18.5
2023-02-20,E2,sales,5.74,17.5
2023-02-20,E3,warehouse,5.64,16.0
2023-02-20,E4,admin,3.67,20.0
2023-02-21,E1,sales,5.17,18.5
2023-02-21,E2,sales,7.77,17.5
2023-02-21,E3,warehouse,5.91,16.0
2023-02-21,E4,admin,2.1,20.0
2023-02-22,E1,sales,4.75,18.5
2023-02-22,E2,sales,7.42,17.5
2023-02-22,E3,warehouse,7.16,16.0
2023-02-22,E4,admin,2.55,20.0
2023-02-23,E1,sales,6.37,18.5
2023-02-23,E2,sales,5.65,17.5
2023-02-23,E3,warehouse,6.83,16.0
2023-02-23,E4,admin,4.99,20.0
2023-02-24,E1,sales,6.57,18.5
2023-02-24,E2,sales,4.83,17.5
2023-02-24,E3,warehouse,6.89,16.0
2023-02-24,E4,admin,2.79,20.0
2023-02-25,E1,sales,4.09,18.5
2023-02-25,E2,sales,5.95,17.5
2023-02-25,E3,warehouse,4.88,16.0
2023-02-25,E4,admin,4.53,20.0
2023-02-26,E1,sales,5.21,18.5
2023-02-26,E2,sales,5.17,17.5
2023-02-26,E3,warehouse,4.87,16.0
2023-02-26,E4,admin,4.44,20.0
2023-02-27,E1,sales,6.5,18.5
2023-02-27,E2,sales,6.45,17.5
2023-02-27,E3,warehouse,7.16,16.0
2023-02-27,E4,admin,3.31,20.0
2023-02-28,E1,sales,6.71,18.5
2023-02-28,E2,sales,8.68,17.5
2023-02-28,E3,warehouse,5.56,16.0
2023-02-28,E4,admin,4.13,20.0
2023-03-01,E1,sales,6.22,18.5
2023-03-01,E2,sales,9.28,17.5
2023-03-01,E3,warehouse,4.57,16.0
2023-03-01,E4,admin,2.16,20.0
2023-03-02,E1,sales,6.68,18.5
2023-03-02,E2,sales,8.43,17.5
2023-03-02,E3,warehouse,7.13,16.0
2023-03-02,E4,admin,4.08,20.0
2023-03-03,E1,sales,7.95,18.5
2023-03-03,E2,sales,5.66,17.5
2023-03-03,E3,warehouse,7.85,16.0
2023-03-03,E4,admin,3.48,20.0
2023-03-04,E1,sales,7.56,18.5
2023-03-04,E2,sales,6.19,17.5
2023-03-04,E3,warehouse,6.22,16.0
2023-03-04,E4,admin,2.79,20.0
2023-03-05,E1,sales,8.4,18.5
2023-03-05,E2,sales,5.19,17.5
2023-03-05,E3,warehouse,4.62,16.0
2023-03-05,E4,admin,4.52,20.0
2023-03-06,E1,sales,5.89,18.5
2023-03-06,E2,sales,5.6,17.5
2023-03-06,E3,warehouse,6.3,16.0
2023-03-06,E4,admin,4.74,20.0
